	en	ru	ru_tokens	en_tokens
10	"""I dare say we'll find somewhere else just as good for you. "	— Я уверен, найдем для вас место не хуже этого. 	['—', 'Я', 'уверен', 'найдем', 'для', 'вас', 'место', 'не', 'хуже', 'этого']	"['I', 'dare', 'say', ""we'll"", 'find', 'somewhere', 'else', 'just', 'as', 'good', 'for', 'you']"
11	And anyway, Mother and I won't be able to go with you this year. 	У нас с мамой в этом году другие планы — поехать в Шотландию. 	['У', 'нас', 'с', 'мамой', 'в', 'этом', 'году', 'другие', 'планы', '—', 'поехать', 'в', 'Шотландию']	"['And', 'anyway', 'Mother', 'and', 'I', ""won't"", 'be', 'able', 'to', 'go', 'with', 'you', 'this', 'year']"
12	"Has Mother told you?"" "	Мама сказала вам об этом? 	['Мама', 'сказала', 'вам', 'об', 'этом']	['Has', 'Mother', 'told', 'you']
13	"""No!"" said Anne. "	— Нет, — ответила Энн. 	['—', 'Нет', '—', 'ответила', 'Энн']	['No', 'said', 'Anne']
14	"""Oh, Mother—is it true? "	— Мама, это правда? 	['—', 'Мама', 'это', 'правда']	['Oh', 'Mother—is', 'it', 'true']
15	Can't you really come with us on our holidays? 	Разве ты не сможешь провести с нами каникулы? 	['Разве', 'ты', 'не', 'сможешь', 'провести', 'с', 'нами', 'каникулы']	"[""Can't"", 'you', 'really', 'come', 'with', 'us', 'on', 'our', 'holidays']"
16	"You always do."" "	Ты ведь всегда ездила с нами. 	['Ты', 'ведь', 'всегда', 'ездила', 'с', 'нами']	['You', 'always', 'do']
17	"""Well, this time Daddy wants me to go to Scotland with him,"" said Mother. ""All by ourselves! And as you are really getting big enough to look after yourselves now, we thought it would be rather fun for you to have a holiday on your own too. "	— В этом году мы хотим поехать одни, вы уже достаточно самостоятельные, и вам будет даже интересно провести каникулы без нас. 	['—', 'В', 'этом', 'году', 'мы', 'хотим', 'поехать', 'одни', 'вы', 'уже', 'достаточно', 'самостоятельные', 'и', 'вам', 'будет', 'даже', 'интересно', 'провести', 'каникулы', 'без', 'нас']	['Well', 'this', 'time', 'Daddy', 'wants', 'me', 'to', 'go', 'to', 'Scotland', 'with', 'him', 'said', 'Mother', 'All', 'by', 'ourselves', 'And', 'as', 'you', 'are', 'really', 'getting', 'big', 'enough', 'to', 'look', 'after', 'yourselves', 'now', 'we', 'thought', 'it', 'would', 'be', 'rather', 'fun', 'for', 'you', 'to', 'have', 'a', 'holiday', 'on', 'your', 'own', 'too']
18	"But now that you can't go to Polseath, I don't really quite know where to send you."" "	Правда, вместо Полсита пока не представляю, куда вас отправить. 	['Правда', 'вместо', 'Полсита', 'пока', 'не', 'представляю', 'куда', 'вас', 'отправить']	"['But', 'now', 'that', 'you', ""can't"", 'go', 'to', 'Polseath', 'I', ""don't"", 'really', 'quite', 'know', 'where', 'to', 'send', 'you']"
19	"""What about Quentin's?"" suddenly said Daddy. "	— А как насчет Квентина? — спросил папа. 	['—', 'А', 'как', 'насчет', 'Квентина', '—', 'спросил', 'папа']	"['What', 'about', ""Quentin's"", 'suddenly', 'said', 'Daddy']"
20	Quentin was his brother, the children's uncle. 	Квентин был его братом. 	['Квентин', 'был', 'его', 'братом']	"['Quentin', 'was', 'his', 'brother', 'the', ""children's"", 'uncle']"
21	They had only seen him once, and had been rather frightened of him. 	Дети видели его только один раз и немного побаивались. 	['Дети', 'видели', 'его', 'только', 'один', 'раз', 'и', 'немного', 'побаивались']	['They', 'had', 'only', 'seen', 'him', 'once', 'and', 'had', 'been', 'rather', 'frightened', 'of', 'him']
22	He was a very tall, frowning man, a clever scientist who spent all his time studying. 	Этот умный, очень высокий, всегда угрюмый человек был вечно занят своими научными изысканиями. 	['Этот', 'умный', 'очень', 'высокий', 'всегда', 'угрюмый', 'человек', 'был', 'вечно', 'занят', 'своими', 'научными', 'изысканиями']	['He', 'was', 'a', 'very', 'tall', 'frowning', 'man', 'a', 'clever', 'scientist', 'who', 'spent', 'all', 'his', 'time', 'studying']
23	He lived by the sea— but that was about all that the children knew of him! 	Он жил у моря — больше ничего ребята о нём не знали. 	['Он', 'жил', 'у', 'моря', '—', 'больше', 'ничего', 'ребята', 'о', 'нём', 'не', 'знали']	['He', 'lived', 'by', 'the', 'sea—', 'but', 'that', 'was', 'about', 'all', 'that', 'the', 'children', 'knew', 'of', 'him']
24	"""Quentin?"" said Mother, pursing up her lips. "	— Насчет Квентина? — переспросила мама. 	['—', 'Насчет', 'Квентина', '—', 'переспросила', 'мама']	['Quentin', 'said', 'Mother', 'pursing', 'up', 'her', 'lips']
25	"""Whatever made you think of him? "	— Почему это ты вдруг подумал о нем? 	['—', 'Почему', 'это', 'ты', 'вдруг', 'подумал', 'о', 'нем']	['Whatever', 'made', 'you', 'think', 'of', 'him']
26	"I shouldn't think he'd want the children messing about in his little house."" "	Вряд ли он захочет, чтобы дети поселились в их небольшом доме и мешали ему. 	['Вряд', 'ли', 'он', 'захочет', 'чтобы', 'дети', 'поселились', 'в', 'их', 'небольшом', 'доме', 'и', 'мешали', 'ему']	"['I', ""shouldn't"", 'think', ""he'd"", 'want', 'the', 'children', 'messing', 'about', 'in', 'his', 'little', 'house']"
27	"""Well,"" said Daddy, ""I had to see Quentin's wife in town the other day, about a business matter— and I don't think things are going too well for them. "	— На днях я виделся с женой Квентина по делу. У них, по-моему, какие-то материальные трудности. 	['—', 'На', 'днях', 'я', 'виделся', 'с', 'женой', 'Квентина', 'по', 'делу', 'У', 'них', 'по-моему', 'какие-то', 'материальные', 'трудности']	"['Well', 'said', 'Daddy', 'I', 'had', 'to', 'see', ""Quentin's"", 'wife', 'in', 'town', 'the', 'other', 'day', 'about', 'a', 'business', 'matter—', 'and', 'I', ""don't"", 'think', 'things', 'are', 'going', 'too', 'well', 'for', 'them']"
28	Fanny said that she would be quite glad if she could hear of one or two people to live with her for a while, to bring a little money in. Their house is by the sea, you know. 	Фанни мне говорила, что была бы не прочь на время пустить одного или двух постояльцев за плату, ведь дом — на самом берегу моря. 	['Фанни', 'мне', 'говорила', 'что', 'была', 'бы', 'не', 'прочь', 'на', 'время', 'пустить', 'одного', 'или', 'двух', 'постояльцев', 'за', 'плату', 'ведь', 'дом', '—', 'на', 'самом', 'берегу', 'моря']	['Fanny', 'said', 'that', 'she', 'would', 'be', 'quite', 'glad', 'if', 'she', 'could', 'hear', 'of', 'one', 'or', 'two', 'people', 'to', 'live', 'with', 'her', 'for', 'a', 'while', 'to', 'bring', 'a', 'little', 'money', 'in', 'Their', 'house', 'is', 'by', 'the', 'sea', 'you', 'know']
29	It might be just the thing for the children. 	Нашим ребятам наверняка там было бы хорошо. 	['Нашим', 'ребятам', 'наверняка', 'там', 'было', 'бы', 'хорошо']	['It', 'might', 'be', 'just', 'the', 'thing', 'for', 'the', 'children']
30	"Fanny is very nice— she would look after them well."" "	Фанни — очень славная, она за ними присмотрит как следует. 	['Фанни', '—', 'очень', 'славная', 'она', 'за', 'ними', 'присмотрит', 'как', 'следует']	['Fanny', 'is', 'very', 'nice—', 'she', 'would', 'look', 'after', 'them', 'well']
31	"""Yes— and she has a child of her own too, hasn't she?"" said the children's mother. "	— Да, и у нее, кстати, тоже есть дочка, — поддержала его мама. 	['—', 'Да', 'и', 'у', 'нее', 'кстати', 'тоже', 'есть', 'дочка', '—', 'поддержала', 'его', 'мама']	"['Yes—', 'and', 'she', 'has', 'a', 'child', 'of', 'her', 'own', 'too', ""hasn't"", 'she', 'said', 'the', ""children's"", 'mother']"
32	"""Let me see— what's her name— something funny— yes, Georgina! "	— Как ее зовут? Как-то очень странно. Ах, да, Джорджина. 	['—', 'Как', 'ее', 'зовут', 'Как-то', 'очень', 'странно', 'Ах', 'да', 'Джорджина']	"['Let', 'me', 'see—', ""what's"", 'her', 'name—', 'something', 'funny—', 'yes', 'Georgina']"
33	How old would she be? 	Сколько ей лет? 	['Сколько', 'ей', 'лет']	['How', 'old', 'would', 'she', 'be']
34	"About eleven, I should think."" "	По-моему, что-то около одиннадцати. 	['По-моему', 'что-то', 'около', 'одиннадцати']	['About', 'eleven', 'I', 'should', 'think']
35	"""Same age as me,"" said Dick. "	— Столько же, сколько мне, — сказал Дик. 	['—', 'Столько', 'же', 'сколько', 'мне', '—', 'сказал', 'Дик']	['Same', 'age', 'as', 'me', 'said', 'Dick']
36	"""Fancy having a cousin we've never seen! "	— Значит, у нас есть двоюродная сестра, которую мы никогда не видели! 	['—', 'Значит', 'у', 'нас', 'есть', 'двоюродная', 'сестра', 'которую', 'мы', 'никогда', 'не', 'видели']	"['Fancy', 'having', 'a', 'cousin', ""we've"", 'never', 'seen']"
37	She must be jolly lonely all by herself. 	Ей, наверно, очень одиноко. 	['Ей', 'наверно', 'очень', 'одиноко']	['She', 'must', 'be', 'jolly', 'lonely', 'all', 'by', 'herself']
38	I've got Julian and Anne to play with— but Georgina is just one on her own. 	Я могу играть с Джулианом и Энн, а у Джорджины никого нет. 	['Я', 'могу', 'играть', 'с', 'Джулианом', 'и', 'Энн', 'а', 'у', 'Джорджины', 'никого', 'нет']	"[""I've"", 'got', 'Julian', 'and', 'Anne', 'to', 'play', 'with—', 'but', 'Georgina', 'is', 'just', 'one', 'on', 'her', 'own']"
39	"I should think she'd be glad to see us."" "	Она, наверно, обрадуется нашему приезду. 	['Она', 'наверно', 'обрадуется', 'нашему', 'приезду']	"['I', 'should', 'think', ""she'd"", 'be', 'glad', 'to', 'see', 'us']"
40	"""Well, your Aunt Fanny said that her Georgina would love a bit of company,"" said Daddy. "	— Знаете, я думаю, что этот вариант решил бы наши трудности, — сказал папа. 	['—', 'Знаете', 'я', 'думаю', 'что', 'этот', 'вариант', 'решил', 'бы', 'наши', 'трудности', '—', 'сказал', 'папа']	['Well', 'your', 'Aunt', 'Fanny', 'said', 'that', 'her', 'Georgina', 'would', 'love', 'a', 'bit', 'of', 'company', 'said', 'Daddy']
41	"""You know, I really think that would solve our difficulty, if we telephone to Fanny and arrange for the children to go there. "	— Давайте позвоним Фанни и договоримся обо всем. 	['—', 'Давайте', 'позвоним', 'Фанни', 'и', 'договоримся', 'обо', 'всем']	['You', 'know', 'I', 'really', 'think', 'that', 'would', 'solve', 'our', 'difficulty', 'if', 'we', 'telephone', 'to', 'Fanny', 'and', 'arrange', 'for', 'the', 'children', 'to', 'go', 'there']
42	"It would help Fanny, I'm sure, and Georgina would love to have someone to play with in the holidays. And we should know that our three were safe."" "	Я уверен, ее это устроит, а у Джорджины будет с кем провести каникулы, мы же сможем не беспокоиться за нашу троицу. 	['Я', 'уверен', 'ее', 'это', 'устроит', 'а', 'у', 'Джорджины', 'будет', 'с', 'кем', 'провести', 'каникулы', 'мы', 'же', 'сможем', 'не', 'беспокоиться', 'за', 'нашу', 'троицу']	"['It', 'would', 'help', 'Fanny', ""I'm"", 'sure', 'and', 'Georgina', 'would', 'love', 'to', 'have', 'someone', 'to', 'play', 'with', 'in', 'the', 'holidays', 'And', 'we', 'should', 'know', 'that', 'our', 'three', 'were', 'safe']"
43	The children began to feel rather excited. 	Ребята пришли в волнение. 	['Ребята', 'пришли', 'в', 'волнение']	['The', 'children', 'began', 'to', 'feel', 'rather', 'excited']
44	It would be fun to go to a place they had never been to before, and stay with an unknown cousin. 	Разве не интересно отправиться в новое место и познакомиться с двоюродной сестрой? 	['Разве', 'не', 'интересно', 'отправиться', 'в', 'новое', 'место', 'и', 'познакомиться', 'с', 'двоюродной', 'сестрой']	['It', 'would', 'be', 'fun', 'to', 'go', 'to', 'a', 'place', 'they', 'had', 'never', 'been', 'to', 'before', 'and', 'stay', 'with', 'an', 'unknown', 'cousin']
45	"""Are there cliffs and rocks and sands there?"" asked Anne. "	— А там есть скалы, камни и песок? — спросила Энн. 	['—', 'А', 'там', 'есть', 'скалы', 'камни', 'и', 'песок', '—', 'спросила', 'Энн']	['Are', 'there', 'cliffs', 'and', 'rocks', 'and', 'sands', 'there', 'asked', 'Anne']
46	"""Is it a nice place?"" "	— Это красивое место? 	['—', 'Это', 'красивое', 'место']	['Is', 'it', 'a', 'nice', 'place']
47	"""I don't remember it very well,"" said Daddy. "	— Я его не очень хорошо помню, — ответил папа. 	['—', 'Я', 'его', 'не', 'очень', 'хорошо', 'помню', '—', 'ответил', 'папа']	"['I', ""don't"", 'remember', 'it', 'very', 'well', 'said', 'Daddy']"
48	"""But I feel sure it's an exciting kind of place. "	— Но уверен, что там очень интересно. 	['—', 'Но', 'уверен', 'что', 'там', 'очень', 'интересно']	"['But', 'I', 'feel', 'sure', ""it's"", 'an', 'exciting', 'kind', 'of', 'place']"
49	Anyway, you'll love it! 	Это место называется 	['Это', 'место', 'называется']	"['Anyway', ""you'll"", 'love', 'it']"
50	It's called Kirrin Bay. 	«Залив Киррин» — вам там наверняка понравится. 	['«Залив', 'Киррин»', '—', 'вам', 'там', 'наверняка', 'понравится']	"[""It's"", 'called', 'Kirrin', 'Bay']"
51	"Your Aunt Fanny has lived there all her life, and wouldn't leave it for anything."" "	Ваша тетя Фанни всю жизнь провела там и ни за что не хочет куда-нибудь переезжать. 	['Ваша', 'тетя', 'Фанни', 'всю', 'жизнь', 'провела', 'там', 'и', 'ни', 'за', 'что', 'не', 'хочет', 'куда-нибудь', 'переезжать']	"['Your', 'Aunt', 'Fanny', 'has', 'lived', 'there', 'all', 'her', 'life', 'and', ""wouldn't"", 'leave', 'it', 'for', 'anything']"
52	"""Oh Daddy, do telephone to Aunt Fanny and ask her if we can go there!"" cried Dick. "	— Папочка, позвони скорее тете Фанни! — воскликнул Дик. 	['—', 'Папочка', 'позвони', 'скорее', 'тете', 'Фанни', '—', 'воскликнул', 'Дик']	['Oh', 'Daddy', 'do', 'telephone', 'to', 'Aunt', 'Fanny', 'and', 'ask', 'her', 'if', 'we', 'can', 'go', 'there', 'cried', 'Dick']
53	"""I just feel as if it's the right place somehow. "	— Мне кажется, это то, что надо. 	['—', 'Мне', 'кажется', 'это', 'то', 'что', 'надо']	"['I', 'just', 'feel', 'as', 'if', ""it's"", 'the', 'right', 'place', 'somehow']"
54	"It sounds sort of adventurous!"" "	Вдруг нас там ждут занятные приключения?! 	['Вдруг', 'нас', 'там', 'ждут', 'занятные', 'приключения']	['It', 'sounds', 'sort', 'of', 'adventurous']
55	"""Oh, you always say that, wherever you go!"" said Daddy, with a laugh. "	— Ах, ты всегда так говоришь, куда бы мы ни поехали, — сказал папа, рассмеявшись. 	['—', 'Ах', 'ты', 'всегда', 'так', 'говоришь', 'куда', 'бы', 'мы', 'ни', 'поехали', '—', 'сказал', 'папа', 'рассмеявшись']	['Oh', 'you', 'always', 'say', 'that', 'wherever', 'you', 'go', 'said', 'Daddy', 'with', 'a', 'laugh']
56	"""All right— I'll ring up now, and see if there's any chance."" "	— Хорошо, я сейчас позвоню и все выясню. 	['—', 'Хорошо', 'я', 'сейчас', 'позвоню', 'и', 'все', 'выясню']	"['All', 'right—', ""I'll"", 'ring', 'up', 'now', 'and', 'see', 'if', ""there's"", 'any', 'chance']"
57	They had all finished their breakfast, and they got up to wait for Daddy to telephone. 	Закончив завтрак, ребята поднялись из-за стола и стали ждать, пока папа позвонит. 	['Закончив', 'завтрак', 'ребята', 'поднялись', 'из-за', 'стола', 'и', 'стали', 'ждать', 'пока', 'папа', 'позвонит']	['They', 'had', 'all', 'finished', 'their', 'breakfast', 'and', 'they', 'got', 'up', 'to', 'wait', 'for', 'Daddy', 'to', 'telephone']
58	He went out into the hall, and they heard him putting the call through. 	Он вышел в холл и заказал разговор. 	['Он', 'вышел', 'в', 'холл', 'и', 'заказал', 'разговор']	['He', 'went', 'out', 'into', 'the', 'hall', 'and', 'they', 'heard', 'him', 'putting', 'the', 'call', 'through']
59	"""I hope it's all right for us!"" said Julian. "	— Надеюсь, что все будет в порядке, — сказал Джулиан. 	['—', 'Надеюсь', 'что', 'все', 'будет', 'в', 'порядке', '—', 'сказал', 'Джулиан']	"['I', 'hope', ""it's"", 'all', 'right', 'for', 'us', 'said', 'Julian']"
60	"""I wonder what Georgina's like. "	— Интересно, какая она, Джорджина. 	['—', 'Интересно', 'какая', 'она', 'Джорджина']	"['I', 'wonder', 'what', ""Georgina's"", 'like']"
61	Funny name, isn't it? 	Странное имя, правда? 	['Странное', 'имя', 'правда']	"['Funny', 'name', ""isn't"", 'it']"
62	More like a boy's than a girl's. 	Скорее подходит мальчику, а не девочке. 	['Скорее', 'подходит', 'мальчику', 'а', 'не', 'девочке']	"['More', 'like', 'a', ""boy's"", 'than', 'a', ""girl's""]"
63	So she's eleven— a year younger than I am— same age as you, Dick— and a year older than you, Anne. 	Значит, ей одиннадцать лет, она на год младше меня, одного возраста с Диком и на год старше Энн. 	['Значит', 'ей', 'одиннадцать', 'лет', 'она', 'на', 'год', 'младше', 'меня', 'одного', 'возраста', 'с', 'Диком', 'и', 'на', 'год', 'старше', 'Энн']	"['So', ""she's"", 'eleven—', 'a', 'year', 'younger', 'than', 'I', 'am—', 'same', 'age', 'as', 'you', 'Dick—', 'and', 'a', 'year', 'older', 'than', 'you', 'Anne']"
64	She ought to fit in with us all right. 	Как раз то, что нам нужно. 	['Как', 'раз', 'то', 'что', 'нам', 'нужно']	['She', 'ought', 'to', 'fit', 'in', 'with', 'us', 'all', 'right']
65	"The four of us ought to have a fine time together."" "	Мы вчетвером чудесно проведем время. 	['Мы', 'вчетвером', 'чудесно', 'проведем', 'время']	['The', 'four', 'of', 'us', 'ought', 'to', 'have', 'a', 'fine', 'time', 'together']
66	Daddy came back in about ten minutes' time, and the children knew at once that he had fixed up everything. He smiled round at them. 	Минут через десять вернулся папа, и ребята по его виду сразу же поняли, что он обо всем договорился. 	['Минут', 'через', 'десять', 'вернулся', 'папа', 'и', 'ребята', 'по', 'его', 'виду', 'сразу', 'же', 'поняли', 'что', 'он', 'обо', 'всем', 'договорился']	"['Daddy', 'came', 'back', 'in', 'about', 'ten', ""minutes'"", 'time', 'and', 'the', 'children', 'knew', 'at', 'once', 'that', 'he', 'had', 'fixed', 'up', 'everything', 'He', 'smiled', 'round', 'at', 'them']"
67	"""Well, that's settled,"" he said. "	— Что ж, все устроено, — объявил он. 	['—', 'Что', 'ж', 'все', 'устроено', '—', 'объявил', 'он']	"['Well', ""that's"", 'settled', 'he', 'said']"
68	"""Your Aunt Fanny is delighted about it. "	— Тетя Фанни очень обрадовалась нашему предложению. 	['—', 'Тетя', 'Фанни', 'очень', 'обрадовалась', 'нашему', 'предложению']	['Your', 'Aunt', 'Fanny', 'is', 'delighted', 'about', 'it']
69	She says it will be awfully good for Georgina to have company, because she's such a lonely little girl, always going off by herself. 	Сказала, что Джорджине будет полезно пообщаться с новыми друзьями — ей ведь очень одиноко. 	['Сказала', 'что', 'Джорджине', 'будет', 'полезно', 'пообщаться', 'с', 'новыми', 'друзьями', '—', 'ей', 'ведь', 'очень', 'одиноко']	"['She', 'says', 'it', 'will', 'be', 'awfully', 'good', 'for', 'Georgina', 'to', 'have', 'company', 'because', ""she's"", 'such', 'a', 'lonely', 'little', 'girl', 'always', 'going', 'off', 'by', 'herself']"
70	And she will love looking after you all. 	А тетя с удовольствием за вами присмотрит. 	['А', 'тетя', 'с', 'удовольствием', 'за', 'вами', 'присмотрит']	['And', 'she', 'will', 'love', 'looking', 'after', 'you', 'all']
71	Only you'll have to be careful not to disturb your Uncle Quentin. 	Только вам нужно поменьше беспокоить дядю Квентина. 	['Только', 'вам', 'нужно', 'поменьше', 'беспокоить', 'дядю', 'Квентина']	"['Only', ""you'll"", 'have', 'to', 'be', 'careful', 'not', 'to', 'disturb', 'your', 'Uncle', 'Quentin']"
72	"He is working very hard, and he isn't very good-tempered when he is disturbed."" "	Он очень много работает и легко выходит из себя, когда ему мешают. 	['Он', 'очень', 'много', 'работает', 'и', 'легко', 'выходит', 'из', 'себя', 'когда', 'ему', 'мешают']	"['He', 'is', 'working', 'very', 'hard', 'and', 'he', ""isn't"", 'very', 'good-tempered', 'when', 'he', 'is', 'disturbed']"
73	"""We'll be as quiet as mice in the house!"" said Dick. "	— Будем вести себя тихо, как мышки, — пообещал Дик. 	['—', 'Будем', 'вести', 'себя', 'тихо', 'как', 'мышки', '—', 'пообещал', 'Дик']	"[""We'll"", 'be', 'as', 'quiet', 'as', 'mice', 'in', 'the', 'house', 'said', 'Dick']"
74	"""Honestly we will. "	— Честное слово. 	['—', 'Честное', 'слово']	['Honestly', 'we', 'will']
75	"Oh, goody, goody— when are we going, Daddy?"" "	Как здорово все получилось! Когда мы поедем туда, папа? 	['Как', 'здорово', 'все', 'получилось', 'Когда', 'мы', 'поедем', 'туда', 'папа']	['Oh', 'goody', 'goody—', 'when', 'are', 'we', 'going', 'Daddy']
76	"""Next week, if Mother can manage it,"" said Daddy. "	— На следующей неделе, если мама управится, — ответил папа. 	['—', 'На', 'следующей', 'неделе', 'если', 'мама', 'управится', '—', 'ответил', 'папа']	['Next', 'week', 'if', 'Mother', 'can', 'manage', 'it', 'said', 'Daddy']
77	Mother nodded her head. 	Мама кивнула. 	['Мама', 'кивнула']	['Mother', 'nodded', 'her', 'head']
78	"""Yes,"" she said, "	— Хорошо, — сказала она. 	['—', 'Хорошо', '—', 'сказала', 'она']	['Yes', 'she', 'said']
79	"""There's nothing much to get ready for them— just bathing suits and jerseys and shorts. They all wear the same."" "	— Какие там сложности — собрать их купальники, майки, шорты… 	['—', 'Какие', 'там', 'сложности', '—', 'собрать', 'их', 'купальники', 'майки', 'шорты…']	"[""There's"", 'nothing', 'much', 'to', 'get', 'ready', 'for', 'them—', 'just', 'bathing', 'suits', 'and', 'jerseys', 'and', 'shorts', 'They', 'all', 'wear', 'the', 'same']"
80	"""How lovely it will be to wear shorts again,"" said Anne, dancing round. "	— Как здорово будет опять влезть в шорты! — вскричала Энн, пританцовывая. 	['—', 'Как', 'здорово', 'будет', 'опять', 'влезть', 'в', 'шорты', '—', 'вскричала', 'Энн', 'пританцовывая']	['How', 'lovely', 'it', 'will', 'be', 'to', 'wear', 'shorts', 'again', 'said', 'Anne', 'dancing', 'round']
81	"""I'm tired of wearing school tunics. I want to wear shorts, or a bathing suit, and go bathing and climbing with the boys."" "	— Я устала от школьной формы, хочу ходить в шортах или в купальнике, плавать и лазить по скалам вместе с мальчиками. 	['—', 'Я', 'устала', 'от', 'школьной', 'формы', 'хочу', 'ходить', 'в', 'шортах', 'или', 'в', 'купальнике', 'плавать', 'и', 'лазить', 'по', 'скалам', 'вместе', 'с', 'мальчиками']	"[""I'm"", 'tired', 'of', 'wearing', 'school', 'tunics', 'I', 'want', 'to', 'wear', 'shorts', 'or', 'a', 'bathing', 'suit', 'and', 'go', 'bathing', 'and', 'climbing', 'with', 'the', 'boys']"
82	"""Well, you'll soon be doing it,"" said Mother, with a laugh. "	— Что ж, скоро ты этим займешься, — сказала мама, засмеявшись. 	['—', 'Что', 'ж', 'скоро', 'ты', 'этим', 'займешься', '—', 'сказала', 'мама', 'засмеявшись']	"['Well', ""you'll"", 'soon', 'be', 'doing', 'it', 'said', 'Mother', 'with', 'a', 'laugh']"
83	"""Remember to put ready any toys or books you want, won't you? "	— Не забудьте приготовить книги и игры, которые вы хотите взять с собой. Ладно? 	['—', 'Не', 'забудьте', 'приготовить', 'книги', 'и', 'игры', 'которые', 'вы', 'хотите', 'взять', 'с', 'собой', 'Ладно']	"['Remember', 'to', 'put', 'ready', 'any', 'toys', 'or', 'books', 'you', 'want', ""won't"", 'you']"
84	"Not many, please, because there won't be a great deal of room."" "	Но, пожалуйста, немного, потому что там довольно тесно. 	['Но', 'пожалуйста', 'немного', 'потому', 'что', 'там', 'довольно', 'тесно']	"['Not', 'many', 'please', 'because', 'there', ""won't"", 'be', 'a', 'great', 'deal', 'of', 'room']"
85	"""Anne wanted to take all her fifteen dolls with her last year,"" said Dick, "	— В прошлом году Энн хотела взять с собой пятнадцать кукол, — сказал Дик. 	['—', 'В', 'прошлом', 'году', 'Энн', 'хотела', 'взять', 'с', 'собой', 'пятнадцать', 'кукол', '—', 'сказал', 'Дик']	['Anne', 'wanted', 'to', 'take', 'all', 'her', 'fifteen', 'dolls', 'with', 'her', 'last', 'year', 'said', 'Dick']
86	"""Do you remember, Anne? "	— Помнишь, Энн? 	['—', 'Помнишь', 'Энн']	['Do', 'you', 'remember', 'Anne']
87	"Weren't you funny?"" "	Вот чудачка! 	['Вот', 'чудачка']	"[""Weren't"", 'you', 'funny']"
88	"""No, I wasn't,"" said Anne, going red. "	— Подумаешь, — возразила Энн, покраснев. 	['—', 'Подумаешь', '—', 'возразила', 'Энн', 'покраснев']	"['No', 'I', ""wasn't"", 'said', 'Anne', 'going', 'red']"
89	"""I love my dolls, and I just couldn't choose which to take— so I thought I'd take them all. "	— Я люблю всех своих кукол и просто не могла выбрать, каких взять, и решила взять всех. 	['—', 'Я', 'люблю', 'всех', 'своих', 'кукол', 'и', 'просто', 'не', 'могла', 'выбрать', 'каких', 'взять', 'и', 'решила', 'взять', 'всех']	"['I', 'love', 'my', 'dolls', 'and', 'I', 'just', ""couldn't"", 'choose', 'which', 'to', 'take—', 'so', 'I', 'thought', ""I'd"", 'take', 'them', 'all']"
