	en	ru
24	His tongue even strayed out to moisten them. 	Он  облизнул  сухие  губы  кончиком языка. 
25	“Bill!” he cried out. 	- Билл! - крикнул он. 
26	It was the pleading cry of a strong man in distress, but Bill’s head did not turn. 	Это была отчаянная мольба человека, попавшего  в  беду,  но  Билл  не повернул головы. 
27	The man watched him go, limping grotesquely and lurching forward with stammering gait up the slow slope toward the soft sky-line of the low-lying hill. 	Его товарищ долго  следил,  как  он  неуклюжей  походкой, прихрамывая и спотыкаясь, взбирается по отлогому склону к волнистой  линии горизонта, образованной гребнем невысокого холма. 
28	He watched him go till he passed over the crest and disappeared. 	Следил до тех пор,  пока Билл не скрылся из виду, перевалив  за  гребень. 
29	Then he turned his gaze and slowly took in the circle of the world that remained to him now that Bill was gone. 	Тогда  он  отвернулся  и медленно обвел взглядом тот круг вселенной,  в  котором  он  остался  один после ухода Билла. 
30	Near the horizon the sun was smouldering dimly, almost obscured by formless mists and vapors, which gave an impression of mass and density without outline or tangibility. 	Над самым горизонтом тускло светило солнце, едва видное сквозь мглу и густой  туман,  который  лежал  плотной  пеленой,  без  видимых  границ  и очертаний. 
31	The man pulled out his watch, the while resting his weight on one leg. 	Опираясь на одну ногу всей своей тяжестью, путник достал  часы. 
32	It was four o’clock, and as the season was near the last of July or first of August,—he did not know the precise date within a week or two,—he knew that the sun roughly marked the northwest. 	Было уже четыре. Последние недели две он сбился со счета;  так  как  стоял конец июля и начало августа, то он знал, что солнце должно  находиться  на северо-западе. 
33	He looked to the south and knew that somewhere beyond those bleak hills lay the Great Bear Lake; also, he knew that in that direction the Arctic Circle cut its forbidding way across the Canadian Barrens. 	Он взглянул на юг, соображая,  что  где-то  там,  за  этими мрачными холмами, лежит Большое Медвежье озеро и что в том же  направлении проходит по  канадской  равнине  страшный  путь  Полярного  круга. 
34	This stream in which he stood was a feeder to the Coppermine River, which in turn flowed north and emptied into Coronation Gulf and the Arctic Ocean. 	Речка, посреди которой он стоял, была  притоком  реки  Коппермайн,  а  Коппермайн течет также на север и впадает в залив  Коронации,  в  Северный  Ледовитый океан. 
35	He had never been there, but he had seen it, once, on a Hudson Bay Company chart. 	Сам он никогда не бывал там, но видел эти места на  карте  Компании Гудзонова залива. 
36	Again his gaze completed the circle of the world about him. 	Он снова окинул взглядом тот круг вселенной, в котором остался теперь один. 
37	It was not a heartening spectacle. 	Картина была невеселая. 
38	Everywhere was soft sky-line. The hills were all low-lying. 	Низкие холмы замыкали горизонт  однообразной волнистой линией. 
39	There were no trees, no shrubs, no grasses—naught but a tremendous and terrible desolation that sent fear swiftly dawning into his eyes. 	Ни деревьев,  ни  кустов,  ни  травы,  -  ничего,  кроме беспредельной и страшной пустыни, - и в  его  глазах  появилось  выражение страха. 
40	“Bill!” he whispered, once and twice; “Bill!” 	- Билл! - прошептал он и повторил опять: - Билл! 
41	He cowered in the midst of the milky water, as though the vastness were pressing in upon him with overwhelming force, brutally crushing him with its complacent awfulness. 	Он присел  на  корточки  посреди  мутного  ручья,  словно  бескрайняя пустыня подавляла его своей несокрушимой силой,  угнетала  своим  страшным спокойствием. 
42	He began to shake as with an ague-fit, till the gun fell from his hand with a splash. 	Он задрожал, словно в лихорадке, и его ружье с плеском упало в воду. 
43	This served to rouse him. 	Это заставило его опомниться. 
44	He fought with his fear and pulled himself together, groping in the water and recovering the weapon. He hitched his pack farther over on his left shoulder, so as to take a portion of its weight from off the injured ankle. Then he proceeded, slowly and carefully, wincing with pain, to the bank. 	Он пересилил свой страх, собрался  с духом и, опустив руку в воду, нашарил ружье, потом передвинул тюк ближе  к левому плечу, чтобы тяжесть меньше давила на больную ногу,  и  медленно  и осторожно пошел к берегу, морщась от боли. 
45	He did not stop. 	Он шел не останавливаясь. 
46	With a desperation that was madness, unmindful of the pain, he hurried up the slope to the crest of the hill over which his comrade had disappeared—more grotesque and comical by far than that limping, jerking comrade. 	Не обращая внимания на  боль,  с  отчаянной решимостью, он торопливо взбирался на вершину холма, за  гребнем  которого скрылся Билл, - и сам он  казался  еще  более  смешным  и  неуклюжим,  чем хромой, едва ковылявший Билл. 
47	But at the crest he saw a shallow valley, empty of life. 	Но с гребня  он  увидел,  что  в  неглубокой долине никого нет! 
48	He fought with his fear again, overcame it, hitched the pack still farther over on his left shoulder, and lurched on down the slope. 	На него снова напал страх, и,  снова  поборов  его,  он передвинул тюк еще дальше к левому плечу и, хромая, стал спускаться вниз. 
49	The bottom of the valley was soggy with water, which the thick moss held, spongelike, close to the surface. 	Дно долины было  болотистое,  вода  пропитывала  густой  мох,  словно губку. 
50	This water squirted out from under his feet at every step, and each time he lifted a foot the action culminated in a sucking sound as the wet moss reluctantly released its grip. 	На каждом шагу она брызгала  из-под  ног,  и  подошва  с  хлюпаньем отрывалась  от  влажного  мха. 
51	He picked his way from muskeg to muskeg, and followed the other man’s footsteps along and across the rocky ledges which thrust like islets through the sea of moss. 	Стараясь  идти  по  следам  Билла,  путник перебирался от озерка к озерку, по камням, торчавшим во мху, как островки. 
52	Though alone, he was not lost. 	Оставшись один, он не сбился с пути. 
53	Farther on he knew he would come to where dead spruce and fir, very small and weazened, bordered the shore of a little lake, the titchin-nichilie, in the tongue of the country, the “land of little sticks.” 	"Он знал, что еще немного - и  он подойдет к тому месту, где сухие пихты и ели, низенькие и чахлые, окружают маленькое озеро Титчинничили,  что  на  местном  языке  означает: ""Страна Маленьких Палок"". "
54	And into that lake flowed a small stream, the water of which was not milky. 	А в озеро впадает ручей, и вода  в  нем  не  мутная. 
55	There was rush-grass on that stream—this he remembered well—but no timber, and he would follow it till its first trickle ceased at a divide. 	По берегам ручья растет камыш - это он хорошо помнил, - но деревьев там  нет, и  он  пойдет  вверх  по  ручью  до  самого  водораздела. 
56	He would cross this divide to the first trickle of another stream, flowing to the west, which he would follow until it emptied into the river Dease, and here he would find a cache under an upturned canoe and piled over with many rocks. 	От  водораздела начинается другой ручей, текущий на запад; он спустится по  нему  до  реки Диз и  там  найдет  свой  тайник  под  перевернутым  челноком,  заваленным камнями. 
57	And in this cache would be ammunition for his empty gun, fish-hooks and lines, a small net—all the utilities for the killing and snaring of food. 	В тайнике спрятаны патроны, крючки и лески для удочек и маленькая сеть - все нужное для того, чтобы добывать себе пропитание. 
58	Also, he would find flour,—not much,—a piece of bacon, and some beans. 	А еще там есть мука - правда, немного, и кусок грудинки, и бобы. 
59	Bill would be waiting for him there, and they would paddle away south down the Dease to the Great Bear Lake. And south across the lake they would go, ever south, till they gained the Mackenzie. And south, still south, they would go, while the winter raced vainly after them, and the ice formed in the eddies, and the days grew chill and crisp, south to some warm Hudson Bay Company post, where timber grew tall and generous and there was grub without end. 	Билл подождет его там, и они вдвоем спустятся по реке Диз до Большого Медвежьего озера, а потом переправятся через озеро и пойдут на юг, все  на юг, - а зима будет догонять их, и быстрину в реке  затянет  льдом,  и  дни станут холодней, - на юг, к какой-нибудь фактории  Гудзонова  залива,  где растут высокие, мощные деревья и где сколько хочешь еды. 
60	These were the thoughts of the man as he strove onward. 	Вот о чем думал путник с трудом пробираясь вперед. 
61	But hard as he strove with his body, he strove equally hard with his mind, trying to think that Bill had not deserted him, that Bill would surely wait for him at the cache. 	Но как  ни  трудно было ему идти, еще труднее было уверить  себя  в  том,  что  Билл  его  не бросил, что Билл, конечно, ждет его у тайника. 
62	He was compelled to think this thought, or else there would not be any use to strive, and he would have lain down and died. 	Он должен был  так  думать, иначе не имело никакого смысла бороться дальше, - оставалось  только  лечь на землю и умереть. 
63	And as the dim ball of the sun sank slowly into the northwest he covered every inch—and many times—of his and Bill’s flight south before the downcoming winter. 	И пока  тусклый  диск  солнца  медленно  скрывался  на северо-западе, он успел рассчитать - и не один раз - каждый шаг того пути, который предстоит проделать им с Биллом, уходя на юг от наступающей  зимы. 
64	And he conned the grub of the cache and the grub of the Hudson Bay Company post over and over again. 	Он снова и снова перебирал мысленно запасы пищи в своем тайнике  и  запасы на складе Компании Гудзонова залива. 
65	He had not eaten for two days; for a far longer time he had not had all he wanted to eat. 	Он ничего не ел уже два дня,  но  еще дольше он не ел досыта. 
66	Often he stooped and picked pale muskeg berries, put them into his mouth, and chewed and swallowed them. 	То и дело он нагибался,  срывал  бледные  болотные ягоды, клал их в рот, жевал и проглатывал. 
67	A muskeg berry is a bit of seed enclosed in a bit of water. In the mouth the water melts away and the seed chews sharp and bitter. 	Ягоды были водянистые и  быстро таяли во рту, - оставалось только горькое жесткое семя. 
68	The man knew there was no nourishment in the berries, but he chewed them patiently with a hope greater than knowledge and defying experience. 	Он знал,  что  ими не насытишься, но все-таки терпеливо жевал, потому что  надежда  не  хочет считаться с опытом. 
69	At nine o’clock he stubbed his toe on a rocky ledge, and from sheer weariness and weakness staggered and fell. 	В девять часов он ушиб большой палец ноги о камень, пошатнулся и упал от слабости и утомления. 
70	He lay for some time, without movement, on his side. Then he slipped out of the pack-straps and clumsily dragged himself into a sitting posture. 	Довольно долго он  лежал  на  боку  не  шевелясь; потом высвободился из ремней, неловко приподнялся и сел. 
71	It was not yet dark, and in the lingering twilight he groped about among the rocks for shreds of dry moss. 	Еще не  стемнело, и в сумеречном свете он стал шарить среди камней,  собирая  клочки  сухого мха. 
72	When he had gathered a heap he built a fire,—a smouldering, smudgy fire,—and put a tin pot of water on to boil. 	Набрав целую охапку, он развел костер - тлеющий, дымный  костер  -  и поставил на него котелок с водой. 
73	He unwrapped his pack and the first thing he did was to count his matches. 	Он распаковал тюк и прежде всего сосчитал, сколько у него спичек. 
74	There were sixty-seven. 	Их было шестьдесят семь. 
75	He counted them three times to make sure. 	Чтобы не ошибиться, он  пересчитывал  три  раза. 
76	He divided them into several portions, wrapping them in oil paper, disposing of one bunch in his empty tobacco pouch, of another bunch in the inside band of his battered hat, of a third bunch under his shirt on the chest. 	Он разделил их на три кучки и каждую завернул в пергамент;  один  сверток  он положил в пустой кисет, другой - за подкладку изношенной шапки, а третий - за пазуху. 
77	This accomplished, a panic came upon him, and he unwrapped them all and counted them again. 	Когда  он  проделал  все  это,  ему  вдруг  стало  страшно;  он развернул все три свертка и  снова  пересчитал. 
78	There were still sixty-seven. 	Спичек  было  по-прежнему шестьдесят семь. 
79	He dried his wet foot-gear by the fire. 	Он просушил мокрую обувь у костра. 
80	The moccasins were in soggy shreds. The blanket socks were worn through in places, and his feet were raw and bleeding. 	От мокасин остались одни лохмотья, сшитые из одеяла носки прохудились насквозь, и ноги у него были стерты  до крови. 
81	His ankle was throbbing, and he gave it an examination. It had swollen to the size of his knee. 	Лодыжка сильно болела, и он осмотрел ее: она распухла, стала  почти такой же толстой, как колено. 
82	He tore a long strip from one of his two blankets and bound the ankle tightly. He tore other strips and bound them about his feet to serve for both moccasins and socks. Then he drank the pot of water, steaming hot, wound his watch, and crawled between his blankets. 	Он оторвал длинную полосу от одного одеяла и крепко-накрепко перевязал лодыжку, оторвал еще несколько полос  и  обмотал ими ноги, заменив этим носки и мокасины, потом выпил кипятку, завел часы и лег, укрывшись одеялом. 
83	He slept like a dead man. 	Он спал как убитый. 
84	The brief darkness around midnight came and went. 	К полуночи стемнело, но не надолго. 
85	The sun arose in the northeast—at least the day dawned in that quarter, for the sun was hidden by gray clouds. 	Солнце взошло на северо-востоке - вернее, в  той  стороне  начало  светать,  потому  что солнце скрывалось за серыми тучами. 
86	At six o’clock he awoke, quietly lying on his back. 	В шесть часов он проснулся, лежа на спине. 
87	He gazed straight up into the gray sky and knew that he was hungry. 	Он посмотрел на серое небо и почувствовал, что голоден. 
88	As he rolled over on his elbow he was startled by a loud snort, and saw a bull caribou regarding him with alert curiosity. 	Повернувшись и  приподнявшись  на  локте,  он услышал громкое фырканье и увидел большого оленя, который настороженно и с любопытством смотрел на него. 
89	The animal was not mere than fifty feet away, and instantly into the man’s mind leaped the vision and the savor of a caribou steak sizzling and frying over a fire. 	Олень стоял от него шагах в  пятидесяти,  не больше, и  ему  сразу  представился  запас  и  вкус  оленины,  шипящей  на сковородке. 
90	Mechanically he reached for the empty gun, drew a bead, and pulled the trigger. 	Он невольно схватил незаряженное  ружье,  прицелился  и  нажал курок. 
91	The bull snorted and leaped away, his hoofs rattling and clattering as he fled across the ledges. 	Олень всхрапнул и бросился прочь, стуча копытами по камням. 
92	The man cursed and flung the empty gun from him. He groaned aloud as he started to drag himself to his feet. 	Он выругался, отшвырнул ружье и со стоном попытался встать на ноги. 
93	It was a slow and arduous task. 	Это удалось ему с большим трудом  и нескоро. 
94	His joints were like rusty hinges. 	Суставы у него  словно заржавели, и согнуться или разогнуться стоило каждый раз большого усилия воли. 
95	They worked harshly in their sockets, with much friction, and each bending or unbending was accomplished only through a sheer exertion of will. When he finally gained his feet, another minute or so was consumed in straightening up, so that he could stand erect as a man should stand. 	Когда он, наконец,  поднялся  на  ноги,  ему  понадобилась  еще  целая  минута,  чтобы выпрямиться и стоять прямо, как полагается человеку. 
96	He crawled up a small knoll and surveyed the prospect. 	Он взобрался на небольшой холмик и  осмотрелся кругом. 
97	There were no trees, no bushes, nothing but a gray sea of moss scarcely diversified by gray rocks, gray lakelets, and gray streamlets. 	Ни  деревьев, ни кустов - ничего, кроме серого моря мхов, где лишь  изредка  виднелись  серые валуны,  серые  озерки и серые  ручьи. 
98	The sky was gray. 	Небо тоже было  серое. 
99	There was no sun nor hint of sun. 	Ни  солнечного луча, ни проблеска солнца! 
100	He had no idea of north, and he had forgotten the way he had come to this spot the night before. 	Он потерял представление,  где находится север, и забыл, с какой стороны  он пришел вчера вечером. 
101	But he was not lost. 	Но он не сбился с пути. 
102	He knew that. 	Это он знал. 
103	Soon he would come to the land of the little sticks. 	Скоро он  придет в Страну Маленьких Палок. 
104	He felt that it lay off to the left somewhere, not far—possibly just over the next low hill. 	Он знал,  что она где-то налево, недалеко отсюда - быть может, за следующим пологим холмом. 
105	He went back to put his pack into shape for travelling. He assured himself of the existence of his three separate parcels of matches, though he did not stop to count them. 	Он вернулся, чтобы увязать свой тюк по-дорожному; проверил,  целы  ли его три свертка со спичками,  но  не  стал  их  пересчитывать. 
106	But he did linger, debating, over a squat moose-hide sack. 	Однако  он остановился в раздумье над плоским, туго набитым мешочком из оленьей кожи. 
107	It was not large. He could hide it under his two hands. He knew that it weighed fifteen pounds,—as much as all the rest of the pack,—and it worried him. 	Мешочек  был  невелик,  он  мог  поместиться  между  ладонями,  но   весил пятнадцать фунтов - столько  же,  сколько  все  остальное,  -  и  это  его тревожило. 
108	He finally set it to one side and proceeded to roll the pack. He paused to gaze at the squat moose-hide sack. He picked it up hastily with a defiant glance about him, as though the desolation were trying to rob him of it; and when he rose to his feet to stagger on into the day, it was included in the pack on his back. 	Наконец, он отложил мешочек в сторону и  стал  свертывать  тюк; потом взглянул на мешочек, быстро схватил его  и  вызывающе  оглянулся  по сторонам, словно пустыня хотела отнять у него золото. И когда он  поднялся на ноги и поплелся дальше, мешочек лежал в тюке у него за спиной. 
109	He bore away to the left, stopping now and again to eat muskeg berries. 	Он свернул налево и пошел, время от времени останавливаясь  и  срывая болотные ягоды. 
110	His ankle had stiffened, his limp was more pronounced, but the pain of it was as nothing compared with the pain of his stomach. 	Нога у него одеревенела, он стал хромать сильнее,  но  эта боль ничего не значила по сравнению с болью в  желудке. 
111	The hunger pangs were sharp. 	Голод  мучил  его невыносимо. 
112	They gnawed and gnawed until he could not keep his mind steady on the course he must pursue to gain the land of little sticks. 	Боль все грызла и грызла его, и он уже  не  понимал,  в  какую сторону надо идти, чтобы добраться до страны  Маленьких  Палок. 
113	The muskeg berries did not allay this gnawing, while they made his tongue and the roof of his mouth sore with their irritating bite. 	Ягоды  не утоляли грызущей боли, от них только щипало язык и небо. 
114	He came upon a valley where rock ptarmigan rose on whirring wings from the ledges and muskegs. Ker—ker—ker was the cry they made. 	Когда он дошел до небольшой ложбины, навстречу ему с камней  и  кочек поднялись белые куропатки, шелестя крыльями и  крича:  кр,  кр,  кр... 
115	He threw stones at them, but could not hit them. 	Он бросил в них камнем, но промахнулся. 
116	He placed his pack on the ground and stalked them as a cat stalks a sparrow. 	Потом, положив  тюк  на  землю,  стал подкрадываться к ним ползком, как кошка подкрадывается к воробьям. 
117	The sharp rocks cut through his pants’ legs till his knees left a trail of blood; but the hurt was lost in the hurt of his hunger. 	Штаны у него порвались об острые камни, от колен тянулся кровавый след, но  он  не чувствовал этой боли, - голод заглушал его. 
118	He squirmed over the wet moss, saturating his clothes and chilling his body; but he was not aware of it, so great was his fever for food. 	Он полз по мокрому мху; одежда его намокла, тело зябло, но он не замечал ничего, так  сильно  терзал  его голод. 
119	And always the ptarmigan rose, whirring, before him, till their ker—ker—ker became a mock to him, and he cursed them and cried aloud at them with their own cry. 	"А белые куропатки все вспархивали вокруг него, и наконец  это  ""кр, кр"" стало казаться ему насмешкой; он  выругал  куропаток  и  начал  громко передразнивать их крик. "
120	Once he crawled upon one that must have been asleep. 	Один раз он чуть не наткнулся на  куропатку,  которая,  должно  быть, спала. 
121	He did not see it till it shot up in his face from its rocky nook. 	Он не видел ее, пока она не вспорхнула ему прямо в лицо  из  своего убежища среди  камней. 
122	He made a clutch as startled as was the rise of the ptarmigan, and there remained in his hand three tail-feathers. 	Как  ни  быстро  вспорхнула  куропатка,  он  успел схватить ее таким же быстрым движением - и в  руке  у  него  осталось  три хвостовых пера. 
123	As he watched its flight he hated it, as though it had done him some terrible wrong. 	Глядя, как улетает куропатка, он чувствовал  к  ней  такую ненависть, будто она причинила ему  страшное  зло. 
124	Then he returned and shouldered his pack. 	Потом  он  вернулся  к своему тюку и взвалил его на спину. 
125	As the day wore along he came into valleys or swales where game was more plentiful. 	К середине дня он дошел до  болота,  где  дичи  было  больше. 
126	A band of caribou passed by, twenty and odd animals, tantalizingly within rifle range. 	Словно дразня его, мимо прошло стадо оленей, голов в двадцать, - так близко,  что их можно было подстрелить из ружья. 
127	He felt a wild desire to run after them, a certitude that he could run them down. 	Его охватило дикое желание  бежать  за ними, он был уверен, что догонит стадо. 
128	A black fox came toward him, carrying a ptarmigan in his mouth. 	Навстречу ему попалась черно-бурая лисица с куропаткой в зубах. 
129	The man shouted. 	Он закричал. 
130	It was a fearful cry, but the fox, leaping away in fright, did not drop the ptarmigan. 	Крик  был  страшен,  но  лисица, отскочив в испуге, все же не выпустила добычи. 
131	Late in the afternoon he followed a stream, milky with lime, which ran through sparse patches of rush-grass. 	Вечером он шел по берегу мутного от извести ручья,  поросшего  редким камышом. 
132	Grasping these rushes firmly near the root, he pulled up what resembled a young onion-sprout no larger than a shingle-nail. 	Крепко ухватившись за стебель камыша у самого корня, он  выдернул что-то вроде луковицы, не  крупнее  обойного  гвоздя. 
133	It was tender, and his teeth sank into it with a crunch that promised deliciously of food. 	Луковица  оказалась мягкая и аппетитно хрустела на зубах. 
134	But its fibers were tough. It was composed of stringy filaments saturated with water, like the berries, and devoid of nourishment. 	Но волокна были  жесткие,  такие  же водянистые, как ягоды, и  не  насыщали. 
135	He threw off his pack and went into the rush-grass on hands and knees, crunching and munching, like some bovine creature. 	Он  сбросил  свою  поклажу  и  на четвереньках пополз в камыши, хрустя и чавкая, словно жвачное животное. 
136	He was very weary and often wished to rest—to lie down and sleep; but he was continually driven on—not so much by his desire to gain the land of little sticks as by his hunger. 	Он очень устал, и его часто тянуло лечь на землю и уснуть; но желание дойти до Страны Маленьких Палок, а еще больше голод не давали  ему  покоя. 
137	He searched little ponds for frogs and dug up the earth with his nails for worms, though he knew in spite that neither frogs nor worms existed so far north. 	Он искал лягушек в озерах, копал руками землю в надежде найти червей, хотя знал, что так далеко на Севере не бывает ни червей, ни лягушек. 
138	He looked into every pool of water vainly, until, as the long twilight came on, he discovered a solitary fish, the size of a minnow, in such a pool. 	Он заглядывал в каждую лужу и наконец с наступлением сумерек увидел в такой луже одну-единственную рыбку величиной с пескаря. 
139	He plunged his arm in up to the shoulder, but it eluded him. 	Он опустил в  воду правую руку по самое плечо, но рыба от него  ускользнула. 
140	He reached for it with both hands and stirred up the milky mud at the bottom. 	Тогда  он  стал ловить ее обеими  руками  и  поднял  всю  муть  со  дна. 
141	In his excitement he fell in, wetting himself to the waist. 	От  волнения  он оступился, упал в воду и вымок до пояса. 
142	Then the water was too muddy to admit of his seeing the fish, and he was compelled to wait until the sediment had settled. 	Он так замутил  воду,  что  рыбку нельзя было разглядеть, и ему пришлось дожидаться,  пока  муть  осядет  на дно. 
143	The pursuit was renewed, till the water was again muddied. 	Он опять принялся за ловлю и ловил, пока вода  опять  не  замутилась. 
144	But he could not wait. 	Больше ждать он не мог. 
145	He unstrapped the tin bucket and began to bale the pool. 	Отвязав жестяное  ведерко,  он  начал  вычерпывать воду. 
146	He baled wildly at first, splashing himself and flinging the water so short a distance that it ran back into the pool. 	Сначала он вычерпывал с яростью, весь облился и выплескивал воду так близко от лужи, что она стекала обратно. 
147	He worked more carefully, striving to be cool, though his heart was pounding against his chest and his hands were trembling. 	Потом  стал  черпать  осторожнее, стараясь быть спокойным, хотя сердце у него сильно билось и руки  дрожали. 
148	At the end of half an hour the pool was nearly dry. 	Через полчаса в луже почти не осталось воды. 
149	Not a cupful of water remained. 	Со дна уже ничего нельзя было зачерпнуть. 
150	And there was no fish. 	Но рыба исчезла. 
151	He found a hidden crevice among the stones through which it had escaped to the adjoining and larger pool—a pool which he could not empty in a night and a day. 	Он увидел незаметную расщелину среди  камней, через которую рыбка проскользнула в соседнюю лужу, такую большую,  что  ее нельзя было вычерпать и за сутки. 
152	Had he known of the crevice, he could have closed it with a rock at the beginning and the fish would have been his. 	Если б он заметил эту щель раньше, он  с самого начала заложил бы ее камнем, и рыба досталась бы ему. 
153	Thus he thought, and crumpled up and sank down upon the wet earth. 	В отчаянии он опустился на мокрую землю и заплакал. 
154	At first he cried softly to himself, then he cried loudly to the pitiless desolation that ringed him around; and for a long time after he was shaken by great dry sobs. 	Сначала он плакал тихо,  потом  стал  громко  рыдать,  будя  безжалостную  пустыню,  которая окружала его; и долго еще плакал без слез, сотрясаясь от рыданий. 
155	He built a fire and warmed himself by drinking quarts of hot water, and made camp on a rocky ledge in the same fashion he had the night before. 	Он развел костер и согрелся, выпив много кипятку, потом устроил  себе ночлег на каменистом выступе, так же как и в прошлую ночь. 
156	The last thing he did was to see that his matches were dry and to wind his watch. 	Перед  сном  он проверил, не намокли ли спички, и завел часы. 
157	The blankets were wet and clammy. 	Одеяла были сырые и холодные на ощупь. 
158	His ankle pulsed with pain. 	Вся нога горела от боли, как в огне. 
159	But he knew only that he was hungry, and through his restless sleep he dreamed of feasts and banquets and of food served and spread in all imaginable ways. 	Но  он  чувствовал  только голод, и ночью ему снились пиры, званые обеды и столы, заставленные едой. 
160	He awoke chilled and sick. 	Он проснулся озябший и больной. 
161	There was no sun. 	Солнца не было. 
162	The gray of earth and sky had become deeper, more profound. 	Серые краски земли  и неба стали темней и глубже. 
163	A raw wind was blowing, and the first flurries of snow were whitening the hilltops. 	Дул резкий ветер, и  первый  снегопад  выбелил холмы. 
164	The air about him thickened and grew white while he made a fire and boiled more water. 	Воздух словно сгустился  и  побелел,  пока  он  разводил  костер  и кипятил воду. 
165	It was wet snow, half rain, and the flakes were large and soggy. 	Это повалил мокрый снег большими влажными хлопьями. 
166	At first they melted as soon as they came in contact with the earth, but ever more fell, covering the ground, putting out the fire, spoiling his supply of moss-fuel. 	Сначала они таяли, едва коснувшись земли, но снег валил все гуще и гуще,  застилая землю, и наконец весь собранный им мох отсырел, и костер погас. 
167	This was a signal for him to strap on his pack and stumble onward, he knew not where. 	Это было ему сигналом снова взвалить тюк на спину  и  брести  вперед, неизвестно куда. 
168	He was not concerned with the land of little sticks, nor with Bill and the cache under the upturned canoe by the river Dease. 	Он уже не думал ни о Стране Маленьких Палок, ни о  Билле, ни о тайнике у  реки  Диз. 
169	He was mastered by the verb “to eat.” 	Им  владело  только  одно  желание:  есть! 
170	He was hunger-mad. 	Он помешался от голода. 
171	He took no heed of the course he pursued, so long as that course led him through the swale bottoms. 	Ему было все  равно,  куда  идти,  лишь  бы  идти  по ровному месту. 
172	He felt his way through the wet snow to the watery muskeg berries, and went by feel as he pulled up the rush-grass by the roots. 	Под  мокрым  снегом  он  ощупью  искал  водянистые  ягоды, выдергивал стебли камыша с корнями. 
173	But it was tasteless stuff and did not satisfy. 	Но все это было пресно и не  насыщало. 
